"","lon","lat","PC1","PC2"
"207198",-16.6448,13.3848,3.08483672142029,1.77280855178833
"207199",4.2604,12.3148,3.01509380340576,-0.0781178772449493
"207200",10.2838,9.86834,2.36700677871704,0.881367146968842
"207201",-1.85456,9.24567,2.58349227905273,1.47934591770172
"207202",1.125,7.0083,2.00978541374207,2.54565954208374
"207203",-16,13.5,3.01727294921875,0.727058947086334
"207206",1.26943,10.7962,2.97651505470276,1.6358767747879
"207208",-8.00289,12.6392,3.11464095115662,0.169010490179062
"207209",-14.7794,13.5363,3.2391312122345,-0.0155801298096776
"207210",8.86596,9.88715,1.39084482192993,1.89047920703888
"207211",0.0437,5.882,2.08020758628845,2.44960284233093
"207212",-1.4895,12.3811,3.12630462646484,-0.113021545112133
"207213",0.3836,6.4516,1.7953040599823,2.87064814567566
"207214",-5.0127,6.2097,1.72726619243622,2.85486221313477
"207215",-5.1066,6.8074,1.89080691337585,2.22371006011963
"207218",-16.4072,16.0559,2.74635577201843,-0.720463335514069
"207223",-0.396572,11.0849,2.99030208587646,1.3238468170166
"207224",-3.80658,8.75186,2.3364417552948,1.77316856384277
"207227",13.8176,8.21044,2.3109438419342,1.37471926212311
"207238",-13.3776,13.3485,2.98312401771545,0.185473218560219
"207245",-16.4277,13.8036,3.018470287323,1.18279623985291
"207248",-13.2965,12.4864,3.15075969696045,1.21122562885284
"207275",-11.5679,13.6344,3.26733374595642,0.0931943506002426
"207289",0.986449,6.02832,2.07726812362671,2.42577838897705
"207291",-4.7153,11.0703,2.73175382614136,1.57512831687927
"207292",-1.15288,10.8616,2.9375147819519,1.66489315032959
"207297",-16.5724,12.4214,2.89378118515015,3.52401256561279
"207298",-14.2097,13.3041,3.01186847686768,0.101136028766632
"207311",-16.7414,14.427,3.21400499343872,0.129213660955429
"207356",-15.3501,13.7014,3.1964635848999,-0.187286719679832
"207358",2.44034,12.4795,3.19579339027405,-0.420928448438644
"207380",-12.7304,11.6459,2.75930094718933,2.73354005813599
"207391",-12.7852,12.893,3.14849829673767,0.761004984378815
"207429",13.7043,7.13391,1.32667553424835,3.09581160545349
"207515",-15.9969,18.087,2.44163107872009,-1.78015148639679
"207531",13.4045,9.29718,2.90676426887512,0.663199007511139
"207557",8.51907,12.025,2.64842247962952,0.0802659243345261
"207569",13.7218,8.79369,2.65811586380005,0.940430521965027
"207573",13.7211,10.7123,2.1822361946106,0.69151383638382
"207577",3.39097,11.9191,3.26355123519897,-0.0734248086810112
"207607",-6.28547,13.4587,3.00806355476379,-0.624766707420349
"207658",-12.4321,14.0926,3.28758525848389,-0.0409825444221497
"207664",1.34397,10.2704,2.57265853881836,2.26878523826599
"207665",2.46265,7.75445,2.48385047912598,2.01653861999512
"207676",2.0634,6.35166,2.32346057891846,2.8562376499176
"207690",1.48642,11.3197,3.06313133239746,1.25506901741028
"207761",14.586,11.3545,3.20129442214966,-0.623305559158325
"207778",14.6002,8.56973,2.72192311286926,0.978356301784515
"207875",-16.8833,15.1378,2.75296068191528,0.0625412240624428
"207880",-12.3273,12.3639,2.93610143661499,1.32639610767365
"207930",-7.54499,12.9101,2.87002968788147,-0.0364316292107105
"208039",7.16875,5.70299,1.88875544071198,5.38490676879883
"208070",-1.82035,10.8469,2.7696385383606,1.73288893699646
"208116",-5.46743,12.3978,2.78672742843628,0.190315559506416
"208129",-7.5949,12.3945,3.01412868499756,0.110312297940254
"208161",4.09626,9.72571,2.46450471878052,1.52457022666931
"208169",-0.551033,6.23954,0.659816980361938,4.16791152954102
"208181",-15.9317,11.7699,3.18470788002014,4.53351736068726
"208196",2.32361,11.6845,2.96960735321045,0.938017904758453
"208233",-5.07173,9.36976,2.2295093536377,2.24983620643616
"208312",4.94471,12.5354,2.97831082344055,-0.371633589267731
"208324",2.11942,13.5107,3.28386259078979,-1.00961947441101
"208341",-13.6632,13.7769,2.94612789154053,0.0162487775087357
"208359",-8.20239,10.7899,2.89211463928223,1.29869043827057
"208435",13.2385,8.46944,2.18580961227417,1.32996654510498
"208673",-1.34421,6.68671,1.54315781593323,3.08335161209106
"208680",16.1574,9.2959,2.99024057388306,0.541510224342346
"208685",-1.4665,8.78856,2.67000842094421,1.6307156085968
"208716",3.85071,7.47141,2.03967761993408,2.57280325889587
"208720",1.95865,11.3801,2.98352575302124,1.27393341064453
"208743",2.98446,11.4432,2.95401406288147,1.09529757499695
"208748",3.40052,6.52014,2.11601829528809,3.86681127548218
"208826",-2.75855,11.7205,2.96804356575012,1.19145154953003
"208830",-0.394349,14.6372,3.35330438613892,-1.47086143493652
"208863",-1.48603,11.184,2.85979199409485,1.49926388263702
"209091",-1.36977,9.51797,2.77029037475586,1.38910520076752
"209098",-0.80375,10.1443,2.82146191596985,1.41071748733521
"209140",1.64392,8.99451,2.31122851371765,2.26719760894775
"209141",2.98191,9.80331,2.44997930526733,1.71855080127716
"209142",3.37861,10.2943,2.42413139343262,1.93852865695953
"209144",2.6125,8.85423,2.26595091819763,1.7071613073349
"209147",2.67291,9.3526,2.44403529167175,1.67991065979004
"209148",2.70486,10.371,2.55421161651611,1.83514440059662
"209153",1.95028,7.06096,2.32973074913025,1.89640653133392
"209155",1.54595,9.84476,2.55169677734375,2.38636779785156
"209156",1.97593,7.92759,2.41077065467834,1.92287111282349
"209160",2.40768,7.20406,2.38560628890991,1.97087204456329
"209162",1.87362,8.40207,2.35218071937561,2.03005480766296
"209177",3.6758,10.916,2.85108852386475,0.882079601287842
"209178",2.0147,10.2386,2.66636824607849,1.90187406539917
"209179",2.10896,10.8308,2.70258259773254,1.91102206707001
"209182",2.83174,10.8399,2.69913363456726,1.57797372341156
"209183",-7.47191,14.4483,2.94424724578857,-1.36853671073914
"209186",-5.1667,9.8667,2.39472651481628,2.73575496673584
"209187",-2.0667,12.1333,2.96896433830261,0.209395408630371
"209188",-4.0833,11.1667,2.82702207565308,1.78646087646484
"209190",1.4167,12.6167,3.10780167579651,-0.369545668363571
"209197",-11.1096,10.7402,2.54644656181335,1.92431259155273
"209217",-2.46094,11.1784,2.79866886138916,1.45677614212036
"209222",-8.0619,13.7981,2.89329528808594,-0.589612662792206
"209223",7.04884,13.5909,2.79775357246399,-1.24297964572906
"209226",-8.16147,14.3203,2.96501040458679,-1.03376996517181
"209228",-9.39674,14.9925,3.08484077453613,-1.23400831222534
"209267",0.9898,8.9485,2.15513920783997,2.89095616340637
"209286",1.04662,9.55386,2.50402736663818,2.61839962005615
"209292",-0.25,11.65,3.00459671020508,1.11505150794983
