"","lon","lat","PC1","PC2"
"2284",4.62473,52.3725,-0.192950218915939,-2.55745577812195
"2288",6.7914,51.2891,-0.183232218027115,-2.30412316322327
"2291",4.5414,51.1225,-0.424701154232025,-2.47051191329956
"2312",7.12473,50.7891,-0.40906748175621,-1.97078549861908
"2313",8.20807,50.1225,-0.715832531452179,-2.46852445602417
"2323",8.70807,49.4558,-0.214649081230164,-2.74751329421997
"2324",10.5414,44.9558,-1.05175626277924,-1.12052762508392
"2325",9.0414,44.5391,0.638120293617249,-2.64640617370605
"2326",11.3747,44.5391,-0.937947809696198,-1.06952607631683
"2327",12.5414,41.8725,-0.0681207701563835,-0.116066850721836
"2328",24.5414,35.3725,0.337176740169525,0.232069969177246
