"","lon","lat","PC1","PC2"
"209709",72.375,23.13,1.65325152873993,3.14416933059692
"209738",72.6234,22.5492,1.79261946678162,2.91615295410156
"209772",72.6873,19.8811,4.39122200012207,1.08064436912537
"209776",72.7097,21.2792,2.69092702865601,2.34658980369568
"209803",72.759,19.3858,4.77982091903687,0.821430623531342
"210276",72.9964,33.6109,0.667148530483246,1.25564670562744
"210354",73.0868,17.8497,8.21104431152344,-1.44416379928589
"210415",73.1304,22.2654,2.13001990318298,2.83546710014343
"210441",73.1979,19.6957,6.55713605880737,0.0878828540444374
"210449",73.271,18.9933,9.15333652496338,-1.71784448623657
"210526",73.4287,18.4368,7.39277696609497,-1.4754273891449
"210528",73.4686,17.5457,8.5016918182373,-1.43066155910492
"210530",73.4813,20.7678,4.5248589515686,1.19625580310822
"210535",73.5313,21.3717,3.04316520690918,2.00984454154968
"210538",73.5342,16.1897,7.07093858718872,-0.22908940911293
"210709",73.7694,18.9837,2.37199831008911,1.77964282035828
"210770",73.7986,21.7748,2.64589262008667,2.33630347251892
"210880",73.8084,17.9365,3.47956299781799,0.796093761920929
"211414",73.8907,18.536,1.90805077552795,2.06916236877441
"211477",73.9354,22.5201,2.15108704566956,2.47953724861145
"211486",73.9713,15.1372,6.86371755599976,-0.24695286154747
"211494",73.9994,31.0834,-0.0454776361584663,2.65175533294678
"211501",74.0135,33.7394,-0.520866870880127,0.311295479536057
"211508",74.0901,20.582,1.55352115631104,2.52256798744202
"211515",74.1278,16.9855,2.79276609420776,1.72300267219543
"211524",74.2684,30.2178,-0.013120180927217,2.96763229370117
"211526",74.2946,18.2906,1.40742671489716,2.63640308380127
"211528",74.3705,33.2884,0.544318735599518,0.384595811367035
"211529",74.4828,21.7763,1.77447080612183,2.62772631645203
"211530",74.6238,15.2592,4.32446479797363,0.540517687797546
"211531",74.6717,32.6766,1.45964086055756,1.28017294406891
"211534",74.7455,20.819,1.6043758392334,3.05971884727478
"211547",74.7982,34.0834,-0.917112767696381,-0.44205167889595
"211553",74.8506,30.6263,0.190311089158058,2.65049076080322
"211563",74.8687,31.6301,0.46755662560463,2.16007900238037
"211596",74.9276,29.9527,0.0395652651786804,2.81549906730652
"211600",74.9589,31.1521,0.444475889205933,2.27115201950073
"211629",74.9816,29.3279,0.0255515035241842,3.18767380714417
"211653",75.1463,32.8965,1.9464772939682,0.300845563411713
"211663",75.3857,31.4158,0.650536179542542,2.09811234474182
"211664",75.3942,22.3539,1.8367931842804,2.66170930862427
"211665",75.408,32.4591,1.78779375553131,0.860960483551025
"211668",75.4424,21.3636,1.81987941265106,2.93830585479736
"211670",75.5128,13.8408,2.92120671272278,1.3236209154129
"211671",75.5235,29.48,0.209524720907211,2.80416655540466
"211688",75.6922,22.8135,1.60282969474792,2.61135411262512
"211706",75.7633,20.5087,1.92387127876282,2.56183552742004
"211710",75.7862,12.948,5.13361501693726,-0.469114571809769
"211712",75.7879,30.9191,0.614388525485992,2.11459684371948
"211723",75.8353,21.0602,1.89285218715668,2.94609713554382
"211746",75.877,12.2478,6.52710437774658,-1.97896683216095
"211766",75.8976,31.9541,1.78772330284119,0.954494953155518
"211883",76.0174,32.5529,2.21227860450745,-2.15504717826843
"211884",76.0182,22.3803,1.84371423721313,3.07505512237549
"211961",76.1428,31.3543,1.17173731327057,1.55147290229797
"211962",76.1559,28.8284,0.464598208665848,2.99810409545898
"211994",76.2172,11.8844,4.3373498916626,0.0517637394368649
"212014",76.309,29.3066,0.34198659658432,2.57019329071045
"212084",76.3496,32.1918,3.17202043533325,-2.20771813392639
"212086",76.3524,20.5835,1.90399277210236,2.76001071929932
"212087",76.3535,29.8894,0.455317556858063,2.55711340904236
"212092",76.3714,30.3534,0.794424712657928,2.0931761264801
"212094",76.3798,21.8089,1.96652543544769,2.93064498901367
"212106",76.4132,22.9656,1.91710948944092,2.59395503997803
"212204",76.5187,30.9872,1.43968939781189,1.68811893463135
"212229",76.6215,31.635,2.14163136482239,0.00815455429255962
"212291",76.6909,11.8102,2.52154636383057,1.40346443653107
"212455",76.8004,21.2043,2.20292210578918,2.41500639915466
"212458",76.804,29.1558,0.6366086602211,2.66703581809998
"212480",76.8679,21.6652,2.48116588592529,2.53335618972778
"212482",76.8748,20.2428,1.99671077728271,2.42597246170044
"212524",76.9176,30.6891,1.7682991027832,1.15654647350311
"212559",76.9774,29.7441,0.922877848148346,2.29429149627686
"212569",76.9831,31.2565,2.18960905075073,-0.756598949432373
"212628",77.0102,20.709,1.8549017906189,2.89882135391235
"212630",77.0107,28.5449,0.815886855125427,2.44467377662659
"212743",77.0919,23.658,1.89431023597717,2.72228908538818
"212781",77.1083,31.8604,1.4282500743866,-1.24984753131866
"213608",77.1666,23.0607,2.10743379592896,2.63094806671143
"214290",77.2874,21.4388,2.69742465019226,1.47323071956635
"214484",77.4429,30.6097,2.50010633468628,-0.233352437615395
"214627",77.5496,28.4976,1.14033055305481,2.58133935928345
"214630",77.5625,29.9848,1.79768443107605,1.71638178825378
"214632",77.5699,31.5612,0.20452094078064,-2.03035974502563
"214700",77.6837,20.9105,2.05427646636963,2.88496661186218
"214702",77.7157,22.9251,2.37707924842834,2.25023818016052
"214716",77.7705,20.3132,2.18686866760254,2.68799686431885
"214744",77.9133,30.3476,3.06793808937073,0.302637845277786
"214753",77.947,22.4793,2.49411177635193,2.16398668289185
"215330",78.119,29.9181,2.39673709869385,1.0786612033844
"216026",78.2329,20.9958,2.12302994728088,2.65679025650024
"216083",78.2654,21.4881,1.96108198165894,2.57536649703979
"216159",78.3412,15.7366,2.54039096832275,2.63070487976074
"216160",78.3593,28.2419,1.36227881908417,2.36787080764771
"216179",78.4143,17.3686,1.99845600128174,2.33319067955017
"216240",78.4333,22.4667,2.85804605484009,1.05041360855103
"216247",78.4352,19.9096,2.36034369468689,2.42200183868408
"216258",78.5219,20.416,2.36010313034058,2.51349520683289
"216264",78.5786,29.7109,2.76649141311646,0.359608203172684
"216272",78.6449,16.1782,2.00265526771545,1.95787131786346
"216394",78.8367,20.9377,2.21350693702698,2.34986567497253
"216483",78.89,29.3078,2.30161929130554,1.41182506084442
"216496",78.9888,30.2932,1.43093073368073,0.0146917356178164
"216497",78.9984,19.117,2.27241849899292,2.54210352897644
"216602",79.1173,20.1008,2.37804937362671,2.49322986602783
"216644",79.1841,21.555,2.06337428092957,2.07808423042297
"216711",79.245,28.2058,1.59600722789764,2.20545887947083
"216769",79.3179,20.8529,2.49253010749817,2.26612687110901
"216778",79.3201,29.8611,2.08425855636597,-0.589523375034332
"216911",79.3866,18.0054,2.23525929450989,2.36593747138977
"216996",79.4387,18.8973,2.51334953308105,2.56511282920837
"217005",79.483,19.354,2.23772287368774,2.43866276741028
"217006",79.4889,29.0232,2.60743474960327,1.29692935943604
"217034",79.6729,21.5962,2.12163400650024,2.20539402961731
"217059",79.798,23.4476,1.95967137813568,2.37283658981323
"217072",79.8119,7.7058,4.90389490127563,0.0700613781809807
"217081",79.845,6.93495,6.85446310043335,-1.54954695701599
"217082",79.8452,22.0707,2.25353908538818,1.76165497303009
"217104",79.9203,24.8532,1.72224175930023,2.80059313774109
"217142",79.9748,17.9944,2.48363852500916,2.20012927055359
"217175",79.9858,21.2411,2.54533743858337,1.88559281826019
"217189",80.0224,8.4649,4.13977289199829,0.837188184261322
"217217",80.1457,28.9579,2.69798994064331,0.942273736000061
"217224",80.1595,22.8985,2.06622123718262,1.96224045753479
"217244",80.2099,21.7642,2.79749655723572,1.90791153907776
"217246",80.2157,6.02907,7.38633966445923,-2.74429488182068
"217250",80.2598,7.38373,6.36520957946777,-1.48894464969635
"217255",80.2841,20.2474,2.88320469856262,1.81910932064056
"217292",80.3362,6.91927,8.83984088897705,-4.00826025009155
"217296",80.3516,28.279,2.32806968688965,1.26981520652771
"217301",80.3667,18.4167,2.35721230506897,2.38095450401306
"217304",80.3795,16.6889,2.62606143951416,2.4292676448822
"217305",80.3798,23.6116,1.9107232093811,2.30338096618652
"217313",80.3905,9.39103,4.81097745895386,0.726407706737518
"217488",80.4398,22.3164,2.3551230430603,1.65870571136475
"217489",80.4414,29.604,2.56680965423584,-0.293491154909134
"217499",80.443,8.2296,4.70811939239502,0.448125213384628
"217543",80.5435,24.3296,1.66571712493896,2.36494159698486
"217559",80.5623,6.34387,7.89779615402222,-4.29888153076172
"218505",80.7911,6.94486,4.05911159515381,-3.27179431915283
"218513",80.8121,18.7984,2.90259599685669,1.69217872619629
"218530",80.857,8.03373,5.07892513275146,0.20666278898716
"218612",80.8954,7.57631,5.50758361816406,-0.509665191173553
"218646",80.9331,22.1794,1.99346339702606,1.40749633312225
"218664",80.9423,23.7536,1.78289306163788,2.36403203010559
"218667",80.9462,28.6861,3.21175527572632,0.536084830760956
"218670",80.9581,16.6556,2.90712904930115,2.07156753540039
"218681",81.0026,8.90574,5.14937734603882,0.483978360891342
"218886",81.0426,21.0607,2.39909982681274,2.11936020851135
"218893",81.0692,6.12103,4.68250513076782,0.299167722463608
"218930",81.231,28.249,2.44553518295288,0.982560873031616
"218940",81.2402,19.7222,2.54001522064209,1.49633228778839
"218963",81.2889,24.377,1.88419795036316,2.342618227005
"218964",81.2903,7.17937,5.5374960899353,-0.487099677324295
"218966",81.3013,17.354,2.95114469528198,1.52240943908691
"218983",81.3997,19.139,2.7754590511322,1.62967252731323
"218989",81.4407,20.3732,2.30862665176392,2.01385712623596
"218993",81.4722,6.35318,4.38749980926514,0.776181161403656
"219016",81.5233,16.5671,3.08384442329407,1.82380557060242
"219065",81.5777,21.263,2.41406011581421,2.22116684913635
"219070",81.5835,17.7856,2.96877408027649,1.25856781005859
"219100",81.6978,22.4027,2.11440777778625,1.80509102344513
"219124",81.7236,16.9829,3.16738772392273,1.76477313041687
"219135",81.7767,23.6237,1.99244844913483,2.09384870529175
"219136",81.7875,24.114,1.78952586650848,2.42799735069275
"219139",81.7966,6.7511,5.14618635177612,0.327931880950928
"219153",81.8798,18.9198,2.64365220069885,1.44215548038483
"219158",81.9241,20.7371,2.41967916488647,2.01422381401062
