"","lon","lat","PC1","PC2"
"222373",-16.8018,13.3229,3.1412079334259,0.0916270688176155
"222468",-16.7641,12.7569,3.42743015289307,-0.78919529914856
"222516",-16.7317,14.0307,2.96703696250916,0.107201166450977
"222834",-16.56,15.2291,2.40622663497925,1.48268461227417
"222951",-16.4675,12.2876,3.6430242061615,-0.95951634645462
"222958",-16.4536,13.6506,3.01862072944641,0.564095556735992
"223004",-16.3818,14.6801,2.63443112373352,1.67879927158356
"223012",-16.3432,16.2542,1.95001578330994,1.61217629909515
"223013",-16.3151,13.2091,3.03415846824646,0.551889955997467
"223031",-16.1621,14.0989,2.86360049247742,1.68041944503784
"223053",-15.9317,11.7699,4.0135235786438,-1.37859261035919
"223072",-15.8643,13.4217,2.69960975646973,1.03869140148163
"223226",-15.7884,12.3104,3.48161935806274,-0.243898048996925
"223235",-15.6912,16.4381,2.12474298477173,2.22225832939148
"223243",-15.3501,13.7014,2.56314253807068,1.63370215892792
"223256",-15.0909,11.2216,4.64703750610352,-1.63117563724518
"223279",-14.8847,13.6972,2.61575031280518,1.58385848999023
"223373",-14.5195,13.3295,2.53660368919373,1.44357717037201
"223386",-13.9949,13.3614,2.38974618911743,1.36475574970245
"223387",-13.3786,12.9772,2.61646437644958,1.09829556941986
"223499",-12.8688,12.8025,2.87627267837524,0.990649580955505
"223501",-12.8101,14.1269,2.70567798614502,1.56059265136719
"223508",-12.4424,14.9163,2.63181781768799,2.06727528572083
"223523",-12.3844,12.5209,2.93838119506836,0.723127543926239
"223532",-11.5199,13.5664,2.76416182518005,1.49939560890198
"223533",-8.64593,12.2257,2.55714583396912,1.31733179092407
"223537",-8.15834,10.8389,2.72491931915283,0.685832500457764
"223538",-8.07441,12.7464,2.43061256408691,1.45412993431091
"223544",-8.02036,13.5719,2.1706919670105,1.87274205684662
"223593",-7.5949,12.3945,2.49091577529907,1.42592012882233
"223595",-7.55617,12.8643,2.32369112968445,1.47901058197021
"223600",-6.28547,13.4587,2.2560601234436,1.90115022659302
"223601",-5.63,9.45,3.28320527076721,-0.642392754554749
"223603",-5.2761,6.84255,2.91913151741028,-0.874021112918854
"223604",-5.07173,9.36976,2.99440217018127,-0.673289358615875
"223605",-4.95271,11.0849,2.85848212242126,0.0980848222970963
"223612",-4.81916,11.7662,2.66322326660156,0.757405042648315
"223616",-4.75708,10.6282,3.30232954025269,-0.0078657791018486
"223618",-4.44161,11.1879,3.24299430847168,-0.174266546964645
"223631",-3.9833,11.1833,3.22129416465759,-0.0209943559020758
"223635",-3.53099,14.1884,1.85136723518372,1.8023761510849
"223638",-3.2,11.6167,3.08736443519592,0.309555411338806
"223639",-3.16828,10.3256,3.04909944534302,-0.119968242943287
"223641",-3.1025,11.1268,3.16231489181519,0.0881599262356758
"223647",-2.46094,11.1784,3.05323123931885,0.215215265750885
"223648",-2.40189,13.5642,2.34130358695984,1.86374723911285
"223649",-2.06167,10.395,3.05936360359192,0.244399100542068
"223650",-2.0118,9.45615,2.93483209609985,0.0384610779583454
"223846",-1.65743,9.11871,3.03512239456177,0.0185959860682487
"223851",-1.5251,12.3062,2.55804467201233,1.46545779705048
"223878",-1.48603,11.184,3.10362720489502,0.244961008429527
"223888",-1.36977,9.51797,3.09591555595398,0.214654088020325
"223896",-1.15288,10.8616,3.28055286407471,0.150726899504662
"223898",-0.9,12.3667,2.63166666030884,1.54323256015778
"223899",-0.482606,10.9382,3.23056840896606,0.242517605423927
"223900",-0.394349,14.6372,2.31806635856628,2.5446195602417
"223915",-0.091737,5.91875,2.89293837547302,-1.63700008392334
"223953",0.856075,10.8411,3.41371154785156,0.261305868625641
"223954",0.9667,12.3667,2.60508155822754,1.56652688980103
"223955",0.986449,6.02832,3.23523283004761,-0.91819155216217
"223961",1.04662,9.55386,3.30275225639343,-0.745676159858704
"223964",1.10065,10.1853,3.30425572395325,-0.171813637018204
"223977",1.28068,10.6134,3.23796916007996,-0.127797499299049
"223978",1.29398,11.1229,3.23142266273499,0.457386702299118
"223985",1.4333,12.6167,2.50046157836914,1.6903213262558
"224008",1.54595,9.84476,3.17672872543335,-0.555976271629333
"224018",1.64392,8.99451,3.01955080032349,-0.625053942203522
"224022",1.66443,11.4354,3.15348696708679,0.602885127067566
"224023",1.66718,13.1009,2.48850345611572,1.96271133422852
"224024",1.68376,10.364,3.13596796989441,-0.279619693756104
"224030",1.87362,8.40207,3.04119992256165,-0.46396604180336
"224033",1.96123,13.5909,2.43667030334473,2.22467732429504
"224034",1.9691,7.01692,3.09953093528748,-0.412480860948563
"224035",1.97593,7.92759,3.10588121414185,-0.360393196344376
"224043",2.10896,10.8308,3.12853813171387,-0.111375100910664
"224049",2.26479,11.8407,2.63373899459839,1.38074922561646
"224054",2.36806,12.4489,2.54444336891174,1.76251304149628
"224055",2.36955,10.345,3.06226968765259,-0.182194262742996
