"","lon","lat","PC1","PC2"
"345962",113.315,34.2096,0.226935938000679,3.66478538513184
"346020",107.971,33.7263,-0.591858267784119,1.46031439304352
"346053",102.5,30.5,-1.24427914619446,0.840270042419434
"346055",107.581,33.3389,0.568785667419434,2.217604637146
"346071",106.742,26.5832,2.54224753379822,2.34773254394531
"346073",105.611,27.0504,1.97057485580444,2.057697057724
"346075",104.772,27.3181,1.36385416984558,1.8479917049408
"346076",104.246,27.0996,0.738761186599731,1.56062006950378
"346079",105.98,27.5176,2.16723108291626,2.21812558174133
"346080",106.803,27.8495,2.07806491851807,2.23409342765808
"346082",106.103,28.4027,2.05734705924988,1.99247241020203
"346083",107,28.3659,2.01747012138367,1.96539449691772
"346085",108.008,27.8495,2.58699941635132,2.3917293548584
"346086",108.82,27.7757,2.72831034660339,2.23168516159058
"346088",108.746,28.4693,2.62436079978943,2.08486771583557
"346090",107.436,28.9471,2.25761938095093,1.86671280860901
"346094",109.146,29.9715,2.72089838981628,2.18495559692383
"346112",113.477,32.6169,1.25708591938019,3.20012998580933
"346121",115.54,31.889,2.29329824447632,2.9364607334137
"346134",107.071,33.741,0.0318932496011257,2.14337611198425
"346140",107.62,32.8795,1.05116641521454,2.56800746917725
"346148",108.267,33.1731,0.385338962078094,1.95229458808899
"346152",107.916,32.3933,1.188472032547,2.38357949256897
"346154",109.304,32.2441,0.915776133537292,1.98426258563995
