"sp"	"x"	"y"
"araacu"	-65.262371	-33.51829
"araacu"	-63.74499	-32.125652
"araacu"	-72.36061	11.25781
"araacu"	-58.514366	-23.493979
"araacu"	-69.28864	10.204247
"araacu"	-54.776047	-18.463379
"araacu"	-62.37403	-36.377213
"araacu"	-70.68881	10.439281
"araacu"	-67.734146	-29.075226
"araacu"	-67.504524	-29.501747
"araacu"	-61.65621	-21.208784
"araacu"	-60.162033	-28.563272
"araacu"	-43.881466	-21.706804
"araacu"	-80.08307	26.35866
"araacu"	-59.91464	-27.604609
"araacu"	-63.881245	-22.57309
"araacu"	-63.684376	-31.30149
"araacu"	-65.50511	-30.961784
"araacu"	-65.98162	-26.01656
"araacu"	-64.86362	-19.486126
"araacu"	-72.876945	10.770021
"araacu"	-58.308544	-25.68374
"araacu"	-64.84646	-35.09371
"araacu"	-62.215374	-25.653341
"araacu"	-62.94763	-30.183262
"araacu"	-70.22766	6.735531
"araacu"	-80.766075	25.756798
"araacu"	-117.604027	34.109571
"araacu"	-65.88641	-32.264076
"araacu"	-65.56212	-29.573126
"araacu"	-47.094788	-10.36432
"araacu"	-72.05207	2.873257
"araacu"	-56.48007	-24.451517
"araacu"	-65.3975	-18.980833
"araacu"	-65.022224	-28.950556
"araacu"	-63.300957	-37.658737
"araacu"	-66.600945	-29.39181
"araacu"	-66.17749	-17.378199
"araacu"	-58.137714	-26.2234
"araacu"	-62.312923	-38.634544
"araacu"	-70.9248	6.109887
"araacu"	-65.61599	-26.309404
"araacu"	-64.42009	-32.2074
"araacu"	-44.902603	-17.204561
"araacu"	-42.55926	-15.042717
"araacu"	-59.727386	-20.372429
"araacu"	-64.242355	-26.168383
"araacu"	-65.19252	-27.83633
"araacu"	-64.899	-23.67571
"araacu"	-59.11444	-28.551035
"araacu"	-57.50844	-16.875095
"araacu"	-63.852222	-38.969376
"araacu"	-46.08544	-10.428576
"araacu"	-64.61229	-24.895124
"araacu"	-63.68127	-28.05186
"araacu"	-55.27451	-19.244146
"araacu"	-61.711647	-27.591904
"araacu"	-46.218334	-10.827413
"araacu"	-65.249275	-18.605713
"araacu"	-63.97077	-30.232918
"araacu"	-46.57648	-11.351769
"araacu"	-65.34854	-23.205873
"araacu"	-63.667664	-37.13709
"araacu"	-63.369939	-35.554715
"araacu"	-58.726208	-17.390938
"araacu"	-59.932877	-28.110058
"araacu"	-63.17142	-28.437561
"araacu"	-65.456	-25.442
"araacu"	-56.928207	-29.46169
"araacu"	-63.41429	-36.407772
"araacu"	-73.34112	10.328455
"araacu"	-55.454292	-23.868563
"araacu"	-64.41872	-24.26026
"araacu"	-64.80291	-28.371433
"araacu"	-38.50495	-11.922656
"araacu"	-57.86739	-18.997017
"araacu"	-65.6418	-36.292786
"araacu"	-64.497955	-18.23318
"araacu"	-67.55889	-30.210217
"araacu"	-64.23481	-21.807552
"araacu"	-61.087566	-31.620584
"araacu"	-58.428154	-22.334694
"araacu"	-61.862537	-17.02744
"araacu"	-59.12344	-26.822388
"araacu"	-60.8984	-18.74563
"araacu"	-80.06337	26.8991
"araacu"	-62.47942	-35.89816
"araacu"	-39.00002	-10.434333
"araacu"	-63.2971	-39.368855
"araacu"	-72.8574	11.548253
"araacu"	-61.141647	-37.71391
"araacu"	-68.51108	-31.541512
"araacu"	-55.968548	-14.516891
"araacu"	-73.86715	3.329506
"araacu"	-65.651184	-37.33345
"araacu"	-66.833046	-27.103117
"araacu"	-62.3439	-23.69317
"araacu"	-66.22398	-37.5513
"araacu"	-64.190216	-28.335464
"araacu"	-59.594448	-24.72942
"araacu"	-62.672684	-17.119015
"araacu"	-57.68389	-16.091604
"araacu"	-71.04012	10.720728
"araacu"	-61.68279	-24.425455
"araacu"	-63.532433	-17.395914
"araacu"	-67.66841	-28.320019
"araacu"	-64.26576	-35.394344
"araacu"	12.502857	41.917148
"araacu"	-63.49492	-28.793198
"araacu"	-60.641	-22.965534
"araacu"	-117.169535	32.604874
"araacu"	-57.701653	-25.906982
"araacu"	-58.705917	-37.944427
"araacu"	-63.993713	-25.664227
"araacu"	-56.816566	-29.056028
"araacu"	-64.37316	-34.74094
"araacu"	-61.011894	-29.224983
"araacu"	-76.992627	-12.139225
