"Comp.1"	"Comp.2"	"variables"
0.22	0.03	"layer.1.1"
0.12	0.14	"layer.2.1"
0.13	0.15	"layer.3.1"
0.24	0	"layer.4.1"
0.21	-0.09	"layer.5.1"
0.22	-0.06	"layer.6.1"
-0.24	0.05	"layer.7.1"
-0.21	0.09	"layer.8.1"
0.25	0.02	"layer.9.1"
0.24	-0.04	"layer.10.1"
0.23	-0.06	"layer.11.1"
0.24	0.03	"layer.12.1"
-0.19	0.11	"layer.13.1"
0.22	0.05	"layer.14.1"
0.22	0.03	"layer.15.1"
0.12	0.14	"layer.16.1"
0.13	0.15	"layer.17.1"
0.24	0	"layer.18.1"
0.21	-0.09	"layer.19.1"
-0.04	-0.29	"layer.1.2"
-0.08	-0.27	"layer.2.2"
0.01	-0.28	"layer.3.2"
0.03	-0.05	"layer.4.2"
-0.06	-0.06	"layer.5.2"
0.12	0	"layer.6.2"
-0.13	0.02	"layer.7.2"
-0.05	-0.06	"layer.8.2"
0.13	-0.01	"layer.9.2"
-0.07	-0.03	"layer.10.2"
0.11	-0.01	"layer.11.2"
-0.06	0.01	"layer.12.2"
0.04	-0.1	"layer.13.2"
-0.11	0.11	"layer.14.2"
-0.08	-0.26	"layer.15.2"
0.03	-0.28	"layer.16.2"
-0.12	0.11	"layer.17.2"
-0.12	-0.16	"layer.18.2"
0.04	-0.2	"layer.19.2"
0.03	0.14	"layer.1.3"
0.03	-0.23	"layer.2.3"
0.01	0.2	"layer.3.3"
0.04	0.08	"layer.4.3"
-0.07	0.05	"layer.5.3"
-0.05	0.02	"layer.6.3"
0.02	0.07	"layer.7.3"
0.01	0	"layer.8.3"
0.03	0.14	"layer.9.3"
0.03	-0.23	"layer.10.3"
0.01	0.2	"layer.11.3"
0.04	0.08	"layer.12.3"
-0.07	0.05	"layer.13.3"
-0.05	0.02	"layer.14.3"
0.02	0.07	"layer.15.3"
0.01	0	"layer.16.3"
0.03	0.14	"layer.17.3"
0.03	-0.23	"layer.18.3"
0.01	0.2	"layer.19.3"
