sim1	sim2	equ	niche_overlap_F$D	niche_overlap_T$D	stability.index	expansion.index	unfilling.index	species	threshold
0.00990099	0.287128713	1	0.173333591	0.251231892	NaN	NaN	NaN	vidmac	1
0.00990099	0.287128713	1	0.173333591	0.251231892	NaN	NaN	NaN	vidmac	0.95
0.01980198	0.316831683	1	0.173333591	0.251231892	NaN	NaN	NaN	vidmac	0.9
0.00990099	0.188118812	1	0.173333591	0.251231892	NaN	NaN	NaN	vidmac	0.85
0.01980198	0.257425743	1	0.173333591	0.251231892	1	0	0	vidmac	0.8
0.00990099	0.207920792	1	0.173333591	0.251231892	1	0	0.037799212	vidmac	0.75
0.00990099	0.257425743	1	0.173333591	0.251231892	1	0	0.358618415	vidmac	0.7
0.01980198	0.267326733	1	0.173333591	0.251231892	1	0	0.437203944	vidmac	0.65
0.01980198	0.277227723	1	0.173333591	0.251231892	1	0	0.403250638	vidmac	0.6
0.00990099	0.257425743	1	0.173333591	0.251231892	1	0	0.488239272	vidmac	0.55
0.00990099	0.247524752	1	0.173333591	0.251231892	1	0	0.497344206	vidmac	0.5
0.01980198	0.297029703	1	0.173333591	0.251231892	1	0	0.525648267	vidmac	0.45
0.00990099	0.207920792	1	0.173333591	0.251231892	1	0	0.545368728	vidmac	0.4
0.00990099	0.247524752	1	0.173333591	0.251231892	1	0	0.571119742	vidmac	0.35
0.00990099	0.267326733	1	0.173333591	0.251231892	1	0	0.586830247	vidmac	0.3
0.01980198	0.267326733	1	0.173333591	0.251231892	1	0	0.604693127	vidmac	0.25
0.00990099	0.267326733	1	0.173333591	0.251231892	1	0	0.618969112	vidmac	0.2
0.00990099	0.207920792	1	0.173333591	0.251231892	1	0	0.629358034	vidmac	0.15
0.00990099	0.267326733	1	0.173333591	0.251231892	1	0	0.639637365	vidmac	0.1
0.00990099	0.227722772	1	0.173333591	0.251231892	1	0	0.647195899	vidmac	0.05
0.00990099	0.178217822	1	0.173333591	0.251231892	1	0	0.653319939	vidmac	0
0.198019802	0.227722772	1	0.001575856	0.000354794	NaN	NaN	NaN	syrrev	1
0.178217822	0.207920792	1	0.001575856	0.000354794	NaN	NaN	NaN	syrrev	0.95
0.207920792	0.237623762	1	0.001575856	0.000354794	NaN	NaN	NaN	syrrev	0.9
0.277227723	0.148514851	1	0.001575856	0.000354794	NaN	NaN	NaN	syrrev	0.85
0.277227723	0.168316832	1	0.001575856	0.000354794	NaN	NaN	NaN	syrrev	0.8
0.168316832	0.198019802	1	0.001575856	0.000354794	NaN	NaN	NaN	syrrev	0.75
0.217821782	0.138613861	1	0.001575856	0.000354794	NaN	NaN	NaN	syrrev	0.7
0.297029703	0.138613861	1	0.001575856	0.000354794	NaN	NaN	NaN	syrrev	0.65
0.118811881	0.128712871	1	0.001575856	0.000354794	NaN	NaN	NaN	syrrev	0.6
0.287128713	0.138613861	1	0.001575856	0.000354794	NaN	NaN	NaN	syrrev	0.55
0.247524752	0.138613861	1	0.001575856	0.000354794	NaN	NaN	NaN	syrrev	0.5
0.227722772	0.188118812	1	0.001575856	0.000354794	NaN	NaN	NaN	syrrev	0.45
0.237623762	0.188118812	1	0.001575856	0.000354794	0.092271058	0.907728942	0.482666754	syrrev	0.4
0.247524752	0.207920792	1	0.001575856	0.000354794	0.1553975	0.8446025	0.571615049	syrrev	0.35
0.217821782	0.168316832	1	0.001575856	0.000354794	0.1553975	0.8446025	0.571615049	syrrev	0.3
0.217821782	0.207920792	1	0.001575856	0.000354794	0.1553975	0.8446025	0.571615049	syrrev	0.25
0.207920792	0.138613861	1	0.001575856	0.000354794	0.1553975	0.8446025	0.571615049	syrrev	0.2
0.148514851	0.178217822	1	0.001575856	0.000354794	0.137595034	0.862404966	0.571615049	syrrev	0.15
0.178217822	0.198019802	1	0.001575856	0.000354794	0.109825708	0.890174292	0.571615049	syrrev	0.1
0.267326733	0.168316832	1	0.001575856	0.000354794	0.086036415	0.913963585	0.571615049	syrrev	0.05
